URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип,Количество нулевых шин,Количество отверстий
https://001.com.ua/nulevaya-shina-4x7-grupp-v-korpuse-na-din-reyku-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/boxes-accessories/asko-ukrem-shina-nulevaya-v-korpuse-na-din-reyku-4x7-grupp-photo.jpg ;; https://001.com.ua/media/photos/asko/boxes-accessories/gabaritnye-razmery-asko-shina-nulevaya-v-korpuse-na-din-reyku-4x7-photo.jpg,"Нулевая шина 4x7 групп в корпусе на DIN-рейку, АСКО-УКРЕМ",Шины нулевые,АСКО-УКРЕМ,A0150120020,A0150120020,instock,1,12,"389,60","Нулевая шина 4x7 групп в корпусе на DIN-рейку, АСКО-УКРЕМ","<h2>Описание товара</h2><p><strong>Материал изготовления крышки:</strong> поликарбонат.</p><p><strong>Тип крепления:</strong><br/>- на DIN-рейку, <br/>- винтовой на монтажную панель.</p><p><strong>Особенности:</strong> каждая шина изолирована отдельно.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальный ток, А</td><td>125</td></tr><tr><td>Кол-во шин</td><td>4</td></tr><tr><td>Диаметр и кол-во отверстий подключения</td><td>Ø5,3мм – 5<br/>Ø7,5мм – 2</td></tr></tbody></table> ","Нульова шина 4x7 груп в корпусі на DIN-рейку, АСКО-УКРЕМ","<h2>Опис товару</h2><p><strong>Матеріал виготовлення кришки:</strong> полікарбонат.</p><p><strong>Тип кріплення:</strong><br/>- на DIN-рейку, <br/>- гвинтовий на монтажну панель.</p><p><strong>Особливості:</strong> кожна шина ізольована окремо.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальний струм, А</td><td>125</td></tr><tr><td>Кількість шин</td><td>4</td></tr><tr><td>Діаметр і кількість отворів підключення</td><td>Ø5,3мм – 5 <br/>Ø7,5мм – 2</td></tr></tbody></table> ",Русский ~ Шина нулевая в корпусе,Русский ~ 4,Русский ~ 28
https://001.com.ua/shina-n-nulevaya-na-din-reyku-v-korpuse-2x7-grupp-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-n-nulevaya-na-din-reyku-v-korpuse-2x7-grupp-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-nulevaya-v-korpuse-2x7-photo.jpg,"Шина «N» нулевая на DIN-рейку в корпусе 2x7 групп, IEK",Шины нулевые,IEK,YND10-2-07-100,YND10-2-07-100,instock,1,12,"219,36","Шина «N» нулевая на DIN-рейку в корпусе 2x7 групп, IEK","<h2>Описание товара</h2><p>Шины выполнены из высококачественной латуни, изолирующая задняя панель и прозрачная защитная крышка выполнены из самозатухающего пластика.</p><p>Применяются при комплектации щитового оборудования для подсоединения нулевого провода (нулевая рабочая шина), провода заземления и фазных проводников. Способы установки:</p><ul><li>на монтажную DIN-рейку 35 мм,</li><li>на панель щита двумя винтами. Каждая шина отдельно изолирована.</li></ul><p>Кросс-модули изготавливаются с двумя или четырьмя шинами, рассчитанными на токи до 100 А и 125 А.</p> <h2>Технические характеристики</h2><table><tbody><tr><td rowspan=""2"">Максимальный ток, А</td><td colspan=""2"">Сечение подключаемых проводников, мм<sup>2</sup></td><td rowspan=""2"">Количество и диаметр отверстий</td></tr><tr><td>с наконечником-гильзой</td><td>без наконечника</td></tr><tr><td rowspan=""2"">100</td><td>1,5-6,0</td><td>1,5-6,0</td><td>5 x ⌀5,3 мм</td></tr><tr><td>6,0-16,0</td><td>6,0-16</td><td>2 x ⌀7,5 мм</td></tr></tbody></table> ","Шина «N» нульова на DIN-рейку в корпусі 2x7 груп, IEK","<h2>Опис товару</h2><p>Шини виконані з високоякісної латуні, ізолююча задня панель і прозора захисна кришка виконані з самозатухаючого пластика.</p><p>Застосовуються при комплектації щитового обладнання для під'єднання нульового проводу (нульова робоча шина), дроту заземлення і фазних провідників. Способи установки:</p><ul><li>на монтажну DIN-рейку 35 мм,</li><li>на панель щита двома гвинтами. Кожна шина окремо ізольована.</li></ul><p>Крос-модулі виготовляються з двома або чотирма шинами, розрахованими на струми до 100 А і 125 А.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td rowspan=""2"">Максимальний струм, А</td><td colspan=""2"">Перетин провідників, що підключаються, мм<sup>2</sup></td><td rowspan=""2"">Кількість і діаметр отворів</td></tr><tr><td>з накінечником-гільзою</td><td>без накінечника</td></tr><tr><td rowspan=""2"">100</td><td>1,5-6,0</td><td>1,5-6,0</td><td>5 x ⌀5,3 мм</td></tr><tr><td>6,0-16,0</td><td>6,0-16</td><td>2 x ⌀7,5 мм</td></tr></tbody></table> ",Русский ~ Шина нулевая в корпусе,Русский ~ 2,Русский ~ 14
https://001.com.ua/shina-n-nulevaya-na-din-reyku-v-korpuse-2x15-grupp-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-n-nulevaya-na-din-reyku-v-korpuse-2x15-grupp-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-nulevaya-v-korpuse-2x15-photo.jpg,"Шина «N» нулевая на DIN-рейку в корпусе 2x15 групп, IEK",Шины нулевые,IEK,YND10-2-15-125,YND10-2-15-125,instock,1,12,"379,42","Шина «N» нулевая на DIN-рейку в корпусе 2x15 групп, IEK","<h2>Описание товара</h2><p>Шины выполнены из высококачественной латуни, изолирующая задняя панель и прозрачная защитная крышка выполнены из самозатухающего пластика.</p><p>Применяются при комплектации щитового оборудования для подсоединения нулевого провода (нулевая рабочая шина), провода заземления и фазных проводников. Способы установки:</p><ul><li>на монтажную DIN-рейку 35 мм,</li><li>на панель щита двумя винтами. Каждая шина отдельно изолирована.</li></ul><p>Кросс-модули изготавливаются с двумя или четырьмя шинами, рассчитанными на токи до 100 А и 125 А.</p> <h2>Технические характеристики</h2><table><tbody><tr><td rowspan=""2"">Максимальный ток, А</td><td colspan=""2"">Сечение подключаемых проводников, мм<sup>2</sup></td><td rowspan=""2"">Количество и диаметр отверстий</td></tr><tr><td>с наконечником-гильзой</td><td>без наконечника</td></tr><tr><td rowspan=""3"">125</td><td>1,5-6,0</td><td>2,5-6,0</td><td>11 x ⌀5,3 мм</td></tr><tr><td>6,0-16,0</td><td>10,0-25,0</td><td>2 x ⌀7,5 мм</td></tr><tr><td>10,0-16,0</td><td>10,0-35,0</td><td>2 x ⌀9 мм</td></tr></tbody></table> ","Шина «N» нульова на DIN-рейку в корпусі 2x15 груп, IEK","<h2>Опис товару</h2><p>Шини виконані з високоякісної латуні, ізолююча задня панель і прозора захисна кришка виконані з самозатухаючого пластика.</p><p>Застосовуються при комплектації щитового обладнання для під'єднання нульового проводу (нульова робоча шина), дроту заземлення і фазних провідників. Способи установки:</p><ul><li>на монтажну DIN-рейку 35 мм,</li><li>на панель щита двома гвинтами. Кожна шина окремо ізольована.</li></ul><p>Крос-модулі виготовляються з двома або чотирма шинами, розрахованими на струми до 100 А і 125 А.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td rowspan=""2"">Максимальний струм, А</td><td colspan=""2"">Перетин провідників, що підключаються, мм<sup>2</sup></td><td rowspan=""2"">Кількість і діаметр отворів</td></tr><tr><td>з накінечником-гільзою</td><td>без накінечника</td></tr><tr><td rowspan=""3"">125</td><td>1,5-6,0</td><td>2,5-6,0</td><td>11 x ⌀5,3 мм</td></tr><tr><td>6,0-16,0</td><td>10,0-25,0</td><td>2 x ⌀7,5 мм</td></tr><tr><td>10,0-16,0</td><td>10,0-35,0</td><td>2 x ⌀9 мм</td></tr></tbody></table> ",Русский ~ Шина нулевая в корпусе,Русский ~ 2,Русский ~ 30
https://001.com.ua/nulevaya-shina-2x7-grupp-v-korpuse-na-din-reyku-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/boxes-accessories/asko-ukrem-shina-nulevaya-v-korpuse-na-din-reyku-2x7-grupp-photo.jpg ;; https://001.com.ua/media/photos/asko/boxes-accessories/gabaritnye-razmery-asko-shina-nulevaya-v-korpuse-na-din-reyku-2x7-photo.jpg,"Нулевая шина 2x7 групп в корпусе на DIN-рейку, АСКО-УКРЕМ",Шины нулевые,АСКО-УКРЕМ,A0150120018,A0150120018,instock,1,12,"239,82","Нулевая шина 2x7 групп в корпусе на DIN-рейку, АСКО-УКРЕМ","<h2>Описание товара</h2><p><strong>Материал изготовления крышки:</strong> поликарбонат.</p><p><strong>Тип крепления:</strong><br/>- на DIN-рейку, <br/>- винтовой на монтажную панель.</p><p><strong>Особенности:</strong> каждая шина изолирована отдельно.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальный ток, А</td><td>90</td></tr><tr><td>Кол-во шин</td><td>2</td></tr><tr><td>Диаметр и кол-во отверстий подключения</td><td>Ø5,3мм – 5<br/>Ø7,5мм – 2</td></tr></tbody></table> ","Нульова шина 2x7 груп в корпусі на DIN-рейку, АСКО-УКРЕМ","<h2>Опис товару</h2><p><strong>Матеріал виготовлення кришки:</strong> полікарбонат.</p><p><strong>Тип кріплення:</strong><br/>- на DIN-рейку, <br/>- гвинтовий на монтажну панель.</p><p><strong>Особливості:</strong> кожна шина ізольована окремо.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальний струм, А</td><td>90</td></tr><tr><td>Кількість шин</td><td>2</td></tr><tr><td>Діаметр і кількість отворів підключення</td><td>Ø5,3мм – 5 <br/>Ø7,5мм – 2</td></tr></tbody></table> ",Русский ~ Шина нулевая в корпусе,Русский ~ 2,Русский ~ 14
https://001.com.ua/nulevaya-shina-4x15-grupp-v-korpuse-na-din-reyku-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/boxes-accessories/asko-ukrem-shina-nulevaya-v-korpuse-na-din-reyku-4x15-grupp-photo.jpg ;; https://001.com.ua/media/photos/asko/boxes-accessories/gabaritnye-razmery-asko-shina-nulevaya-v-korpuse-na-din-reyku-4x15-photo.jpg,"Нулевая шина 4x15 групп в корпусе на DIN-рейку, АСКО-УКРЕМ",Шины нулевые,АСКО-УКРЕМ,A0150120022,A0150120022,instock,1,12,"740,61","Нулевая шина 4x15 групп в корпусе на DIN-рейку, АСКО-УКРЕМ","<h2>Описание товара</h2><p><strong>Материал изготовления крышки:</strong> поликарбонат.</p><p><strong>Тип крепления:</strong><br/>- на DIN-рейку, <br/>- винтовой на монтажную панель.</p><p><strong>Особенности:</strong> каждая шина изолирована отдельно.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальный ток, А</td><td>125</td></tr><tr><td>Кол-во шин</td><td>4</td></tr><tr><td>Диаметр и кол-во отверстий подключения</td><td>Ø5,3мм – 11<br/>Ø7,5мм – 2<br/>Ø9мм – 2</td></tr></tbody></table> ","Нульова шина 4x15 груп в корпусі на DIN-рейку, АСКО-УКРЕМ","<h2>Опис товару</h2><p><strong>Матеріал виготовлення кришки:</strong> полікарбонат.</p><p><strong>Тип кріплення:</strong><br/>- на DIN-рейку, <br/>- гвинтовий на монтажну панель.</p><p><strong>Особливості:</strong> кожна шина ізольована окремо.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальний струм, А</td><td>125</td></tr><tr><td>Кількість шин</td><td>4</td></tr><tr><td>Діаметр і кількість отворів підключення</td><td>Ø5,3мм – 11<br/>Ø7,5мм – 2<br/>Ø9мм – 2</td></tr></tbody></table> ",Русский ~ Шина нулевая в корпусе,Русский ~ 4,Русский ~ 60
https://001.com.ua/shina-nulevaya-e-cbs-pro-2-11-v-korpuse-na-din-reyku-2x11-grupp-e-next,new,,,https://001.com.ua/media/photos/enext/boxes-accessories/enext-shina-nulevaya-v-korpuse-na-din-reyku-p0650002-photo.jpg,"Шина нулевая e.cbs.pro.2.11 в корпусе на DIN-рейку 2x11 групп, E.NEXT",Шины нулевые,E.NEXT,p0650002,p0650002,instock,1,12,"198,63","Шина нулевая e.cbs.pro.2.11 в корпусе на DIN-рейку 2x11 групп, E.NEXT","<h2>Описание товара</h2><p><strong>Шины нулевые e.cbs.pro на DIN-рейку в корпусе</strong> предназначены для подсоединения нулевого провода и провода заземления при комплектации щитового оборудования.</p><p>Материал корпуса: самозатухающий пластик. Шины блока изолированы друг от друга. Устанавливаются на DIN-рейку или на монтажную панель.</p> <h2>Технические характеристики</h2><table><tbody><tr><td colspan=""2"">Кол-во шин</td><td>2</td></tr><tr><td colspan=""2"">Кол-во групп × диаметр отверстий, мм</td><td>1) 7 × ∅5,3<br/>2) 2 × ∅7,5<br/>3) 2 × ∅9</td></tr><tr><td colspan=""2"">Максимальный ток, А</td><td>125</td></tr><tr><td rowspan=""2"">Сечение подключаемых проводников, мм²</td><td>с наконечником</td><td>1) 1,5 - 6,0<br/>2) 6 - 16<br/>3) 10 - 16</td></tr><tr><td>без наконечника</td><td>1) 2,5 - 6<br/>2) 10 - 25<br/>3) 10 - 35</td></tr><tr><td colspan=""2"">Размер, мм (Д × Ш × В)</td><td>100 × 42 × 50</td></tr></tbody></table> ","Шина нульова e.cbs.pro.2.11 в корпусі на DIN-рейку 2x11 груп, E.NEXT","<h2>Опис товару</h2><p><strong>Шини нульові e.cbs.pro на DIN-рейку в корпусі</strong> призначені для під'єднання нульового проводу і проводу заземлення при комплектації щитового обладнання.</p><p>Матеріал корпусу: самозатухаючий пластик. Шини блоку ізольовані один від одного. Встановлюються на DIN-рейку або на монтажну панель.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td colspan=""2"">Кількість шин</td><td>2</td></tr><tr><td colspan=""2"">Кількість груп × діаметр отворів, мм</td><td>1) 7 × ∅5,3<br/>2) 2 × ∅7,5<br/>3) 2 × ∅9</td></tr><tr><td colspan=""2"">Максимальний струм, А</td><td>125</td></tr><tr><td rowspan=""2"">Перетин приєднуваних провідників, мм²</td><td>з накінечником</td><td>1) 1,5 - 6,0<br/>2) 6 - 16<br/>3) 10 - 16</td></tr><tr><td>без накінечника</td><td>1) 2,5 - 6<br/>2) 10 - 25<br/>3) 10 - 35</td></tr><tr><td colspan=""2"">Розмір, мм (Д × Ш × В)</td><td>100 × 42 × 50</td></tr></tbody></table> ",Русский ~ Шина нулевая в корпусе,Русский ~ 2,Русский ~ 22
https://001.com.ua/shina-n-nulevaya-na-din-reyku-v-korpuse-4x15-grupp-iek,new,,,https://001.com.ua/media/photos/iek/boxes_accessories/iek-shina-n-nulevaya-na-din-reyku-v-korpuse-4x15-grupp-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_accessories/gabaritnye-razmery-iek-shina-nulevaya-v-korpuse-4x15-photo.jpg,"Шина «N» нулевая на DIN-рейку в корпусе 4x15 групп, IEK",Шины нулевые,IEK,YND10-4-15-125,YND10-4-15-125,instock,1,12,"620,07","Шина «N» нулевая на DIN-рейку в корпусе 4x15 групп, IEK","<h2>Описание товара</h2><p>Шины выполнены из высококачественной латуни, изолирующая задняя панель и прозрачная защитная крышка выполнены из самозатухающего пластика.</p><p>Применяются при комплектации щитового оборудования для подсоединения нулевого провода (нулевая рабочая шина), провода заземления и фазных проводников. Способы установки:</p><ul><li>на монтажную DIN-рейку 35 мм,</li><li>на панель щита двумя винтами. Каждая шина отдельно изолирована.</li></ul><p>Кросс-модули изготавливаются с двумя или четырьмя шинами, рассчитанными на токи до 100 А и 125 А.</p> <h2>Технические характеристики</h2><table><tbody><tr><td rowspan=""2"">Максимальный ток, А</td><td colspan=""2"">Сечение подключаемых проводников, мм<sup>2</sup></td><td rowspan=""2"">Количество и диаметр отверстий</td></tr><tr><td>с наконечником-гильзой</td><td>без наконечника</td></tr><tr><td rowspan=""3"">125</td><td>1,5-6,0</td><td>2,5-6,0</td><td>11 x ⌀5,3 мм</td></tr><tr><td>6,0-16,0</td><td>10,0-25,0</td><td>2 x ⌀7,5 мм</td></tr><tr><td>10,0-16,0</td><td>10,0-35,0</td><td>2 x ⌀9 мм</td></tr></tbody></table> ","Шина «N» нульова на DIN-рейку в корпусі 4x15 груп, IEK","<h2>Опис товару</h2><p>Шини виконані з високоякісної латуні, ізолююча задня панель і прозора захисна кришка виконані з самозатухаючого пластика.</p><p>Застосовуються при комплектації щитового обладнання для під'єднання нульового проводу (нульова робоча шина), дроту заземлення і фазних провідників. Способи установки:</p><ul><li>на монтажну DIN-рейку 35 мм,</li><li>на панель щита двома гвинтами. Кожна шина окремо ізольована.</li></ul><p>Крос-модулі виготовляються з двома або чотирма шинами, розрахованими на струми до 100 А і 125 А.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td rowspan=""2"">Максимальний струм, А</td><td colspan=""2"">Перетин провідників, що підключаються, мм<sup>2</sup></td><td rowspan=""2"">Кількість і діаметр отворів</td></tr><tr><td>з накінечником-гільзою</td><td>без накінечника</td></tr><tr><td rowspan=""3"">125</td><td>1,5-6,0</td><td>2,5-6,0</td><td>11 x ⌀5,3 мм</td></tr><tr><td>6,0-16,0</td><td>10,0-25,0</td><td>2 x ⌀7,5 мм</td></tr><tr><td>10,0-16,0</td><td>10,0-35,0</td><td>2 x ⌀9 мм</td></tr></tbody></table> ",Русский ~ Шина нулевая в корпусе,Русский ~ 4,Русский ~ 60
https://001.com.ua/nulevaya-shina-2x11-grupp-v-korpuse-na-din-reyku-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/boxes-accessories/asko-ukrem-shina-nulevaya-v-korpuse-na-din-reyku-2x11-grupp-photo.jpg ;; https://001.com.ua/media/photos/asko/boxes-accessories/gabaritnye-razmery-asko-shina-nulevaya-v-korpuse-na-din-reyku-2x11-photo.jpg,"Нулевая шина 2x11 групп в корпусе на DIN-рейку, АСКО-УКРЕМ",Шины нулевые,АСКО-УКРЕМ,A0150120023,A0150120023,instock,1,12,"300,05","Нулевая шина 2x11 групп в корпусе на DIN-рейку, АСКО-УКРЕМ","<h2>Описание товара</h2><p><strong>Материал изготовления крышки:</strong> поликарбонат.</p><p><strong>Тип крепления:</strong><br/>- на DIN-рейку, <br/>- винтовой на монтажную панель.</p><p><strong>Особенности:</strong> каждая шина изолирована отдельно.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальный ток, А</td><td>90</td></tr><tr><td>Кол-во шин</td><td>2</td></tr><tr><td>Диаметр и кол-во отверстий подключения</td><td>Ø5,3мм – 7<br/>Ø7,5мм – 2<br/>Ø9мм – 2</td></tr></tbody></table> ","Нульова шина 2x11 груп в корпусі на DIN-рейку, АСКО-УКРЕМ","<h2>Опис товару</h2><p><strong>Матеріал виготовлення кришки:</strong> полікарбонат.</p><p><strong>Тип кріплення:</strong><br/>- на DIN-рейку, <br/>- гвинтовий на монтажну панель.</p><p><strong>Особливості:</strong> кожна шина ізольована окремо.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальний струм, А</td><td>90</td></tr><tr><td>Кількість шин</td><td>2</td></tr><tr><td>Діаметр і кількість отворів підключення</td><td>Ø5,3мм – 7<br/>Ø7,5мм – 2<br/>Ø9мм – 2</td></tr></tbody></table> ",Русский ~ Шина нулевая в корпусе,Русский ~ 2,Русский ~ 22
