URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип,Степень защиты
https://001.com.ua/korobka-km41237-raspayachnaya-dlya-o-u-d75x40-mm-ip44-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41237-raspayachnaya-dlya-otkrytoy-ustanovki-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41237-photo.jpg,"Коробка КМ41237 распаячная для о/у d75x40 мм IP44, IEK",Монтажные коробки,IEK,UKO11-075-040-000-K41-44,UKO11-075-040-000-K41-44,instock,1,12,"27,06","Коробка КМ41237 распаячная для о/у d75x40 мм IP44, IEK","<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, также для скрытия и дополнительной защиты мест коммутации. Коробки для открытого монтажа используются как часть системы электрической канализации, состоящей из жестких и гофрированных труб. Некоторые типы коробок (степень защиты IP44, IP55) могут быть использованы на открытом воздухе, а также во влажных и пыльных помещениях.</p><ul><li>Материал изготовления — полистирол.</li><li>Цвет — RAL 7035.</li><li>Степень защиты — IP44.</li><li>Рабочая температура — от -25 до +40 °С.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP44</td></tr></tbody></table>","Коробка КМ41237 розпаячна для в/в d75x40 мм IP44, IEK","<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів та кабелів, також для приховування і додаткового захисту місць комутації. Коробки для відкритого монтажу використовуються як частина системи електричної каналізації, що складається з жорстких і гофрованих труб. Деякі типи коробок (ступінь захисту IP44, IP55) можуть бути використані на відкритому повітрі, а також у вологих і запилених приміщеннях.</p><ul><li>Матеріал виготовлення — полістирол.</li><li>Колір — RAL 7035.</li><li>Ступінь захисту — IP44.</li><li>Робоча температура — від -25 до +40 °С.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP44</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP44
https://001.com.ua/korobka-km41222-raspayachnaya-dlya-o-u-100x100x44-mm-belaya-s-kontaktnoy-gruppoy-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41219-raspayachnaya-dlya-otkrytoy-ustanovki-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41222-photo.jpg,"Коробка КМ41222 распаячная для о/у 100x100x44 мм белая (с контактной группой), IEK",Монтажные коробки,IEK,UKO10-100-100-044-K01,UKO10-100-100-044-K01,instock,1,12,"121,98","Коробка КМ41222 распаячная для о/у 100x100x44 мм белая (с контактной группой), IEK","<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, также для скрытия и дополнительной защиты мест коммутации. Коробки для открытого монтажа используются как часть системы электрической канализации, состоящей из кабельных каналов. Для удобства коммутации коробки поставляются в комплекте с клеммной колодкой.</p><ul><li>Материал изготовления — полистирол.</li><li>Цвет — белый.</li><li>Степень защиты — IP20.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP20</td></tr></tbody></table>","Коробка КМ41222 розпаячна для в/в 100x100x44 мм біла (з контактною групою), IEK","<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів та кабелів, також для приховування і додаткового захисту місць комутації. Коробки для відкритого монтажу використовуються як частина системи електричної каналізації, що складається з кабельних каналів. Для зручності комутації коробки поставляються в комплекті з клемною колодкою.</p><ul><li>Матеріал виготовлення — полістирол.</li><li>Колір — білий.</li><li>Ступінь захисту — IP20.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP20</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP20
https://001.com.ua/korobka-km41241-raspayachnaya-dlya-o-u-150x110x70-mm-ip44-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41241-raspayachnaya-dlya-otkrytoy-ustanovki-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41241-km41242-photo.jpg,"Коробка КМ41241 распаячная для о/у 150x110x70 мм IP44, IEK",Монтажные коробки,IEK,UKO10-150-110-070-K41-44,UKO10-150-110-070-K41-44,instock,1,12,"121,80","Коробка КМ41241 распаячная для о/у 150x110x70 мм IP44, IEK","<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, также для скрытия и дополнительной защиты мест коммутации. Коробки для открытого монтажа используются как часть системы электрической канализации, состоящей из жестких и гофрированных труб. Некоторые типы коробок (степень защиты IP44, IP55) могут быть использованы на открытом воздухе, а также во влажных и пыльных помещениях.</p><ul><li>Материал изготовления — полистирол.</li><li>Цвет — RAL 7035.</li><li>Степень защиты — IP44.</li><li>Рабочая температура — от -25 до +40 °С.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP44</td></tr></tbody></table>","Коробка КМ41241 розпаячна для в/в 150x110x70 мм IP44, IEK","<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів та кабелів, також для приховування і додаткового захисту місць комутації. Коробки для відкритого монтажу використовуються як частина системи електричної каналізації, що складається з жорстких і гофрованих труб. Деякі типи коробок (ступінь захисту IP44, IP55) можуть бути використані на відкритому повітрі, а також у вологих і запилених приміщеннях.</p><ul><li>Матеріал виготовлення — полістирол.</li><li>Колір — RAL 7035.</li><li>Ступінь захисту — IP44.</li><li>Робоча температура — від -25 до +40 °С.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP44</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP44
https://001.com.ua/korobka-km41001-raspayachnaya-dlya-tverdyh-sten-92x92x40-mm-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41001-raspayachnaya-dlya-tverdyh-sten-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41001-photo.jpg,"Коробка КМ41001 распаячная для твердых стен 92x92x40 мм, IEK",Монтажные коробки,IEK,UKT11-092-092-040,UKT11-092-092-040,instock,1,12,"28,44","Коробка КМ41001 распаячная для твердых стен 92x92x40 мм, IEK","<h2>Описание товара</h2><p>Установочные и распределительные коробки данной серии предназначены для монтажа в сплошные кирпичные или бетонные стены различных электроустановочных изделий: розеток, выключателей, диммеров. Используя крышку, изделия можно применять в качестве распаячной (разветвительной) коробки для развода кабеля и проводов.</p><p>Материал изготовления - полипропилен.</p><p>Степень защиты - IP20.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>для твердых стен</td></tr><tr><td>Степень защиты</td><td>IP20</td></tr></tbody></table>","Коробка КМ41001 розпаячна для твердих стін 92x92x40 мм, IEK","<h2>Опис товару</h2><p>Установчі та розподільні коробки даної серії призначені для монтажу в суцільні цегельні або бетонні стіни різних електроустановочних виробів: розеток, вимикачів, димерів. Використовуючи кришку, вироби можна застосовувати в якості розпаячної (розгалужувальної) коробки для розведення кабелю і проводів.</p><p>Матеріал виготовлення - поліпропілен.</p><p>Ступінь захисту - IP20.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>для твердих стін</td></tr><tr><td>Ступінь захисту</td><td>IP20</td></tr></tbody></table>",Русский ~ Для твердых стен,Русский ~ IP20
https://001.com.ua/korobka-km41212-01-raspayachnaya-dlya-o-u-75x75x20-mm-belaya-s-kontaktnoy-gruppoy-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41212-01-raspayachnaya-dlya-otkrytoy-ustanovki-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41212-photo.jpg,"Коробка КМ41212-01 распаячная для о/у 75x75x20 мм белая (с контактной группой), IEK",Монтажные коробки,IEK,UKO10-075-075-020-K01,UKO10-075-075-020-K01,instock,1,12,"52,73","Коробка КМ41212-01 распаячная для о/у 75x75x20 мм белая (с контактной группой), IEK","<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, также для скрытия и дополнительной защиты мест коммутации. Коробки для открытого монтажа используются как часть системы электрической канализации, состоящей из кабельных каналов. Для удобства коммутации коробки поставляются в комплекте с клеммной колодкой.</p><ul><li>Материал изготовления — полистирол.</li><li>Цвет — белый.</li><li>Степень защиты — IP20.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP20</td></tr></tbody></table>","Коробка КМ41212-01 розпаячна для в/в 75x75x20 мм біла (з контактною групою), IEK","<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів та кабелів, також для приховування і додаткового захисту місць комутації. Коробки для відкритого монтажу використовуються як частина системи електричної каналізації, що складається з кабельних каналів. Для зручності комутації коробки поставляються в комплекті з клемною колодкою.</p><ul><li>Матеріал виготовлення — полістирол.</li><li>Колір — білий.</li><li>Ступінь захисту — IP20.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP20</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP20
https://001.com.ua/korobka-km41212-02-raspayachnaya-dlya-o-u-75x75x20-mm-slonovaya-kost-s-kontaktnoy-gruppoy-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41212-01-raspayachnaya-dlya-otkrytoy-ustanovki-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41212-photo.jpg,"Коробка КМ41212-02 распаячная для о/у 75x75x20 мм слоновая кость (с контактной группой), IEK",Монтажные коробки,IEK,UKO10-075-075-020-K32,UKO10-075-075-020-K32,instock,1,12,"56,28","Коробка КМ41212-02 распаячная для о/у 75x75x20 мм слоновая кость (с контактной группой), IEK","<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, также для скрытия и дополнительной защиты мест коммутации. Коробки для открытого монтажа используются как часть системы электрической канализации, состоящей из кабельных каналов. Для удобства коммутации коробки поставляются в комплекте с клеммной колодкой.</p><ul><li>Материал изготовления — полистирол.</li><li>Цвет — слоновая кость.</li><li>Степень защиты — IP20.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP20</td></tr></tbody></table>","Коробка КМ41212-02 розпаячна для в/в 75x75x20 мм слонова кістка (з контактною групою), IEK","<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів та кабелів, також для приховування і додаткового захисту місць комутації. Коробки для відкритого монтажу використовуються як частина системи електричної каналізації, що складається з кабельних каналів. Для зручності комутації коробки поставляються в комплекті з клемною колодкою.</p><ul><li>Матеріал виготовлення — полістирол.</li><li>Колір — слонова кістка.</li><li>Ступінь захисту — IP20.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP20</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP20
https://001.com.ua/korobka-km41219-raspayachnaya-dlya-o-u-100x100x29-mm-belaya-s-kontaktnoy-gruppoy-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41219-raspayachnaya-dlya-otkrytoy-ustanovki-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41219-photo.jpg,"Коробка КМ41219 распаячная для о/у 100x100x29 мм белая (с контактной группой), IEK",Монтажные коробки,IEK,UKO10-100-100-029-K01,UKO10-100-100-029-K01,instock,1,12,"118,85","Коробка КМ41219 распаячная для о/у 100x100x29 мм белая (с контактной группой), IEK","<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, также для скрытия и дополнительной защиты мест коммутации. Коробки для открытого монтажа используются как часть системы электрической канализации, состоящей из кабельных каналов. Для удобства коммутации коробки поставляются в комплекте с клеммной колодкой.</p><ul><li>Материал изготовления — полистирол.</li><li>Цвет — белый.</li><li>Степень защиты — IP20.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP20</td></tr></tbody></table>","Коробка КМ41219 розпаячна для в/в 100x100x29 мм біла (з контактною групою), IEK","<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів та кабелів, також для приховування і додаткового захисту місць комутації. Коробки для відкритого монтажу використовуються як частина системи електричної каналізації, що складається з кабельних каналів. Для зручності комутації коробки поставляються в комплекті з клемною колодкою.</p><ul><li>Матеріал виготовлення — полістирол.</li><li>Колір — білий.</li><li>Ступінь захисту — IP20.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP20</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP20
https://001.com.ua/korobka-raspredelitelnaya-na-3-vvoda-kor-73-72x43x102,new,,,https://001.com.ua/media/photos/other/boxes/korobka-raspredelitelnaya-kor-73-photo.jpg ;; https://001.com.ua/media/photos/other/boxes/korobka-raspredelitelnaya-kor-73-2-photo.jpg ;; https://001.com.ua/media/photos/other/boxes/korobka-raspredelitelnaya-kor-73-3-photo.jpg,Коробка распределительная на 3 ввода КОР 73 72×43×102,Монтажные коробки,IEK,7574,7574,instock,1,12,"62,20",Коробка распределительная на 3 ввода КОР 73 72×43×102,"<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, а также для скрытия и дополнительной защиты мест коммутации.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP44</td></tr><tr><td>Материал</td><td>карболит</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table>",Коробка розподільча на 3 вводи КОР 73 72×43×102,"<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів і кабелів, а також для приховування та додаткового захисту місць комутації.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP44</td></tr><tr><td>Матеріал</td><td>карболіт</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP44
https://001.com.ua/korobka-raspredelitelnaya-na-4-vvoda-kor-74-72x43x102,new,,,https://001.com.ua/media/photos/other/boxes/korobka-raspredelitelnaya-kor-74-photo.jpg ;; https://001.com.ua/media/photos/other/boxes/korobka-raspredelitelnaya-kor-74-2-photo.jpg,Коробка распределительная на 4 ввода КОР 74 72×43×102,Монтажные коробки,IEK,7575,7575,instock,1,12,63,Коробка распределительная на 4 ввода КОР 74 72×43×102,"<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, а также для скрытия и дополнительной защиты мест коммутации.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP44</td></tr><tr><td>Материал</td><td>карболит</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table>",Коробка розподільча на 4 вводи КОР 74 72×43×102,"<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів і кабелів, а також для приховування та додаткового захисту місць комутації.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP44</td></tr><tr><td>Матеріал</td><td>карболіт</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP44
https://001.com.ua/korobka-km41004-raspayachnaya-dlya-tverdyh-sten-d80x40-mm-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41004-raspayachnaya-dlya-tverdyh-sten-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41004-photo.jpg,"Коробка КМ41004 распаячная для твердых стен d80x40 мм, IEK",Монтажные коробки,IEK,UKT01-080-040-000,UKT01-080-040-000,instock,1,12,"17,60","Коробка КМ41004 распаячная для твердых стен d80x40 мм, IEK","<h2>Описание товара</h2><p>Установочные и распределительные коробки данной серии предназначены для монтажа в сплошные кирпичные или бетонные стены различных электроустановочных изделий: розеток, выключателей, диммеров. Используя крышку, изделия можно применять в качестве распаячной (разветвительной) коробки для развода кабеля и проводов.</p><p>Материал изготовления - полипропилен.</p><p>Степень защиты - IP20.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>для твердых стен</td></tr><tr><td>Степень защиты</td><td>IP20</td></tr></tbody></table>","Коробка КМ41004 розпаячна для твердих стін d80x40 мм, IEK","<h2>Опис товару</h2><p>Установчі та розподільні коробки даної серії призначені для монтажу в суцільні цегельні або бетонні стіни різних електроустановочних виробів: розеток, вимикачів, димерів. Використовуючи кришку, вироби можна застосовувати в якості розпаячної (розгалужувальної) коробки для розведення кабелю і проводів.</p><p>Матеріал виготовлення - поліпропілен.</p><p>Ступінь захисту - IP20.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>для твердих стін</td></tr><tr><td>Ступінь захисту</td><td>IP20</td></tr></tbody></table>",Русский ~ Для твердых стен,Русский ~ IP20
https://001.com.ua/korobka-km41206-04-raspayachnaya-dlya-o-u-50x50x20-mm-sosna-s-kontaktnoy-gruppoy-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41206-04-raspayachnaya-dlya-otkrytoy-ustanovki-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41206-photo.jpg,"Коробка КМ41206-04 распаячная для о/у 50x50x20 мм сосна (с контактной группой), IEK",Монтажные коробки,IEK,UKO10-050-050-020-K34,UKO10-050-050-020-K34,instock,1,12,"45,27","Коробка КМ41206-04 распаячная для о/у 50x50x20 мм сосна (с контактной группой), IEK","<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, также для скрытия и дополнительной защиты мест коммутации. Коробки для открытого монтажа используются как часть системы электрической канализации, состоящей из кабельных каналов. Для удобства коммутации коробки поставляются в комплекте с клеммной колодкой.</p><ul><li>Материал изготовления — полистирол.</li><li>Цвет — сосна.</li><li>Степень защиты — IP20.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP20</td></tr></tbody></table>","Коробка КМ41206-04 розпаячна для в/в 50x50x20 мм сосна (з контактною групою), IEK","<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів та кабелів, також для приховування і додаткового захисту місць комутації. Коробки для відкритого монтажу використовуються як частина системи електричної каналізації, що складається з кабельних каналів. Для зручності комутації коробки поставляються в комплекті з клемною колодкою.</p><ul><li>Матеріал виготовлення — полістирол.</li><li>Колір — сосна.</li><li>Ступінь захисту — IP20.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP20</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP20
https://001.com.ua/korobka-km41212-03-raspayachnaya-dlya-o-u-75x75x20-mm-svetloe-derevo-s-kontaktnoy-gruppoy-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-korobka-km41212-01-raspayachnaya-dlya-otkrytoy-ustanovki-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-km41212-photo.jpg,"Коробка КМ41212-03 распаячная для о/у 75x75x20 мм светлое дерево (с контактной группой), IEK",Монтажные коробки,IEK,UKO10-075-075-020-K21,UKO10-075-075-020-K21,instock,1,12,"55,10","Коробка КМ41212-03 распаячная для о/у 75x75x20 мм светлое дерево (с контактной группой), IEK","<h2>Описание товара</h2><p>Монтажные коробки для открытого монтажа предназначены для разветвления проводов и кабелей, также для скрытия и дополнительной защиты мест коммутации. Коробки для открытого монтажа используются как часть системы электрической канализации, состоящей из кабельных каналов. Для удобства коммутации коробки поставляются в комплекте с клеммной колодкой.</p><ul><li>Материал изготовления — полистирол.</li><li>Цвет — светлое дерево.</li><li>Степень защиты — IP20.</li></ul> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>открытой установки</td></tr><tr><td>Степень защиты</td><td>IP20</td></tr></tbody></table>","Коробка КМ41212-03 розпаячна для в/в 75x75x20 мм світле дерево (з контактною групою), IEK","<h2>Опис товару</h2><p>Монтажні коробки для відкритого монтажу призначені для розгалуження проводів та кабелів, також для приховування і додаткового захисту місць комутації. Коробки для відкритого монтажу використовуються як частина системи електричної каналізації, що складається з кабельних каналів. Для зручності комутації коробки поставляються в комплекті з клемною колодкою.</p><ul><li>Матеріал виготовлення — полістирол.</li><li>Колір — світле дерево.</li><li>Ступінь захисту — IP20.</li></ul> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>відкритого встановлення</td></tr><tr><td>Ступінь захисту</td><td>IP20</td></tr></tbody></table>",Русский ~ Открытой установки,Русский ~ IP20
