URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип оборудования,Диаметр обвязываемого жгута,Цвет товара
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-4-50-mm-e-spiral-stand-6-black-10-m-chernaya-e-next,new,,,https://001.com.ua/media/photos/enext/spiral/enext-spiralnaya-obvyazka-e-spiral-stand-6-black-s2038011-photo.jpg ;; https://001.com.ua/media/photos/enext/spiral/gabaritnye-razmery-enext-spiralnaya-obvyazka-e-spiral-stand-6-black-s2038011-photo.jpg,"Спиральная обвязка для провода ∅4-50 мм e.spiral.stand.6.black (10 м) черная, E.NEXT",Спираль монтажная,E.NEXT,s2038011,s2038011,instock,1,12,"39,69","Спиральная обвязка для провода ∅4-50 мм e.spiral.stand.6.black (10 м) черная, E.NEXT","<h2>Описание товара</h2><p>Обвязка кабельная предназначена для бандажирования нескольких проводов в жгут, с целью более упорядоченного, экономичного размещения.</p><p>Упакована в рулоны по 10 м.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Диаметр обвязываемого жгута, мм</td><td>4-50</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table>","Спіральна обв'язка для проводу ∅4-50 мм e.spiral.stand.6.black (10 м) чорна, E.NEXT","<h2>Опис товару</h2><p>Обв'язка кабельна призначена для бандажування декількох проводів в джгут, з метою більш упорядкованого, економічного розміщення.</p><p>Упакована в рулони по 10 м.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Діаметр обв'язуваного джгута, мм</td><td>4-50</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table>",Русский ~ Спираль монтажная,Русский ~ 4-50,Русский ~ Черный
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-4-50-mm-swb-06-belaya-10-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-spiralnaya-obvyazka-dlya-provoda-photo.jpg,"Спиральная обвязка для провода ∅4-50 мм SWB-06 белая (10 м), АСКО-УКРЕМ",Спираль монтажная,АСКО-УКРЕМ,A0150070001,A0150070001,instock,1,12,"42,72","Спиральная обвязка для провода ∅4-50 мм SWB-06 белая (10 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для оперативной увязки проводов в жгут.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Внутренний диаметр ∅d, мм</td><td>4</td></tr><tr><td>Наружный диаметр ∅D, мм</td><td>6</td></tr><tr><td>Ширина обвязки W, мм</td><td>7</td></tr><tr><td>Диаметр провода, мм</td><td>4-50</td></tr><tr><td>Длина L, м</td><td>10</td></tr></tbody></table> ","Спіральна обв'язка для проводу ∅4-50 мм SWB-06 біла (10 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для оперативної ув'язки проводів в джгут.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Внутрішній діаметр ∅d, мм</td><td>4</td></tr><tr><td>Зовнішній діаметр ∅D, мм</td><td>6</td></tr><tr><td>Ширина обв'язки W, мм</td><td>7</td></tr><tr><td>Діаметр проводу, мм</td><td>4-50</td></tr><tr><td>Довжина L, м</td><td>10</td></tr></tbody></table> ",Русский ~ Спираль монтажная,Русский ~ 4-50,Русский ~ Белый
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-4-50-mm-swb-06-chernaya-10-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-spiralnaya-obvyazka-dlya-provoda-black-photo.jpg,"Спиральная обвязка для провода ∅4-50 мм SWB-06 черная (10 м), АСКО-УКРЕМ",Спираль монтажная,АСКО-УКРЕМ,A0150070010,A0150070010,instock,1,12,"42,72","Спиральная обвязка для провода ∅4-50 мм SWB-06 черная (10 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для оперативной увязки проводов в жгут.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Внутренний диаметр ∅d, мм</td><td>4</td></tr><tr><td>Наружный диаметр ∅D, мм</td><td>6</td></tr><tr><td>Ширина обвязки W, мм</td><td>7</td></tr><tr><td>Диаметр провода, мм</td><td>4-50</td></tr><tr><td>Длина L, м</td><td>10</td></tr></tbody></table> ","Спіральна обв'язка для проводу ∅4-50 мм SWB-06 чорна (10 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для оперативної ув'язки проводів в джгут.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Внутрішній діаметр ∅d, мм</td><td>4</td></tr><tr><td>Зовнішній діаметр ∅D, мм</td><td>6</td></tr><tr><td>Ширина обв'язки W, мм</td><td>7</td></tr><tr><td>Діаметр проводу, мм</td><td>4-50</td></tr><tr><td>Довжина L, м</td><td>10</td></tr></tbody></table> ",Русский ~ Спираль монтажная,Русский ~ 4-50,Русский ~ Черный
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-1-5-10-mm-e-spiral-stand-3-black-10-m-chernaya-e-next,new,,,https://001.com.ua/media/photos/enext/spiral/enext-spiralnaya-obvyazka-e-spiral-stand-3-black-s2038010-photo.jpg ;; https://001.com.ua/media/photos/enext/spiral/gabaritnye-razmery-enext-spiralnaya-obvyazka-e-spiral-stand-3-black-s2038010-photo.jpg,"Спиральная обвязка для провода ∅1,5-10 мм e.spiral.stand.3.black (10 м) черная, E.NEXT",Спираль монтажная,E.NEXT,s2038010,s2038010,instock,1,12,"31,27","Спиральная обвязка для провода ∅1,5-10 мм e.spiral.stand.3.black (10 м) черная, E.NEXT","<h2>Описание товара</h2><p>Обвязка кабельная предназначена для бандажирования нескольких проводов в жгут, с целью более упорядоченного, экономичного размещения.</p><p>Упакована в рулоны по 10 м.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Диаметр обвязываемого жгута, мм</td><td>1,5-10</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table>","Спіральна обв'язка для проводу ∅1,5-10 мм e.spiral.stand.3.black (10 м) чорна, E.NEXT","<h2>Опис товару</h2><p>Обв'язка кабельна призначена для бандажування декількох проводів в джгут, з метою більш упорядкованого, економічного розміщення.</p><p>Упакована в рулони по 10 м.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Діаметр обв'язуваного джгута, мм</td><td>1,5-10</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table>",Русский ~ Спираль монтажная,"Русский ~ 1,5-10",Русский ~ Черный
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-7-5-60-mm-swb-10-belaya-10-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-spiralnaya-obvyazka-dlya-provoda-photo.jpg,"Спиральная обвязка для провода ∅7,5-60 мм SWB-10 белая (10 м), АСКО-УКРЕМ",Спираль монтажная,АСКО-УКРЕМ,A0150070003,A0150070003,instock,1,12,"96,63","Спиральная обвязка для провода ∅7,5-60 мм SWB-10 белая (10 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для оперативной увязки проводов в жгут.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Внутренний диаметр ∅d, мм</td><td>7,5</td></tr><tr><td>Наружный диаметр ∅D, мм</td><td>9</td></tr><tr><td>Ширина обвязки W, мм</td><td>14</td></tr><tr><td>Диаметр провода, мм</td><td>7,5-60</td></tr><tr><td>Длина L, м</td><td>10</td></tr></tbody></table> ","Спіральна обв'язка для проводу ∅7,5-60 мм SWB-10 біла (10 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для оперативної ув'язки проводів в джгут.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Внутрішній діаметр ∅d, мм</td><td>7,5</td></tr><tr><td>Зовнішній діаметр ∅D, мм</td><td>9</td></tr><tr><td>Ширина обв'язки W, мм</td><td>14</td></tr><tr><td>Діаметр проводу, мм</td><td>7,5-60</td></tr><tr><td>Довжина L, м</td><td>10</td></tr></tbody></table> ",Русский ~ Спираль монтажная,Русский ~ 8-60,Русский ~ Белый
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-1-5-10-mm-e-spiral-stand-3-10-m-e-next,new,,,https://001.com.ua/media/photos/enext/spiral/enext-spiralnaya-obvyazka-e-spiral-stand-3-s2038008-photo.jpg ;; https://001.com.ua/media/photos/enext/spiral/gabaritnye-razmery-enext-spiralnaya-obvyazka-e-spiral-stand-3-s2038008-photo.jpg,"Спиральная обвязка для провода ∅1,5-10 мм e.spiral.stand.3 (10 м), E.NEXT",Спираль монтажная,E.NEXT,s2038008,s2038008,instock,1,12,"31,27","Спиральная обвязка для провода ∅1,5-10 мм e.spiral.stand.3 (10 м), E.NEXT","<h2>Описание товара</h2><p>Обвязка кабельная предназначена для бандажирования нескольких проводов в жгут, с целью более упорядоченного, экономичного размещения.</p><p>Упакована в рулоны по 10 м.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Диаметр обвязываемого жгута, мм</td><td>1,5-10</td></tr><tr><td>Цвет</td><td>белый</td></tr></tbody></table>","Спіральна обв'язка для проводу ∅1,5-10 мм e.spiral.stand.3 (10 м), E.NEXT","<h2>Опис товару</h2><p>Обв'язка кабельна призначена для бандажування декількох проводів в джгут, з метою більш упорядкованого, економічного розміщення.</p><p>Упакована в рулони по 10 м.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Діаметр обв'язуваного джгута, мм</td><td>1,5-10</td></tr><tr><td>Колір</td><td>білий</td></tr></tbody></table>",Русский ~ Спираль монтажная,"Русский ~ 1,5-10",Русский ~ Белый
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-6-60-mm-e-spiral-stand-8-black-10-m-chernaya-e-next,new,,,https://001.com.ua/media/photos/enext/spiral/enext-spiralnaya-obvyazka-e-spiral-stand-8-black-s2038012-photo.jpg ;; https://001.com.ua/media/photos/enext/spiral/gabaritnye-razmery-enext-spiralnaya-obvyazka-e-spiral-stand-8-black-s2038012-photo.jpg,"Спиральная обвязка для провода ∅6-60 мм e.spiral.stand.8.black (10 м) черная, E.NEXT",Спираль монтажная,E.NEXT,s2038012,s2038012,instock,1,12,"56,78","Спиральная обвязка для провода ∅6-60 мм e.spiral.stand.8.black (10 м) черная, E.NEXT","<h2>Описание товара</h2><p>Обвязка кабельная предназначена для бандажирования нескольких проводов в жгут, с целью более упорядоченного, экономичного размещения.</p><p>Упакована в рулоны по 10 м.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Диаметр обвязываемого жгута, мм</td><td>6-60</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table>","Спіральна обв'язка для проводу ∅6-60 мм e.spiral.stand.8.black (10 м) чорна, E.NEXT","<h2>Опис товару</h2><p>Обв'язка кабельна призначена для бандажування декількох проводів в джгут, з метою більш упорядкованого, економічного розміщення.</p><p>Упакована в рулони по 10 м.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Діаметр обв'язуваного джгута, мм</td><td>6-60</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table>",Русский ~ Спираль монтажная,Русский ~ 6-60,Русский ~ Черный
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-3-20-mm-swb-03-belaya-10-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-spiralnaya-obvyazka-dlya-provoda-photo.jpg,"Спиральная обвязка для провода ∅3-20 мм SWB-03 белая (10 м), АСКО-УКРЕМ",Спираль монтажная,АСКО-УКРЕМ,A0150070008,A0150070008,instock,1,12,"50,63","Спиральная обвязка для провода ∅3-20 мм SWB-03 белая (10 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для оперативной увязки проводов в жгут.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Внутренний диаметр ∅d, мм</td><td>3</td></tr><tr><td>Наружный диаметр ∅D, мм</td><td>4,6</td></tr><tr><td>Ширина обвязки W, мм</td><td>6</td></tr><tr><td>Диаметр провода, мм</td><td>3-20</td></tr><tr><td>Длина L, м</td><td>10</td></tr></tbody></table> ","Спіральна обв'язка для проводу ∅3-20 мм SWB-03 біла (10 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для оперативної ув'язки проводів в джгут.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Внутрішній діаметр ∅d, мм</td><td>3</td></tr><tr><td>Зовнішній діаметр ∅D, мм</td><td>4,6</td></tr><tr><td>Ширина обв'язки W, мм</td><td>6</td></tr><tr><td>Діаметр проводу, мм</td><td>3-20</td></tr><tr><td>Довжина L, м</td><td>10</td></tr></tbody></table> ",Русский ~ Спираль монтажная,Русский ~ 3-20,Русский ~ Белый
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-6-60-mm-swb-08-belaya-10-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-spiralnaya-obvyazka-dlya-provoda-photo.jpg,"Спиральная обвязка для провода ∅6-60 мм SWB-08 белая (10 м), АСКО-УКРЕМ",Спираль монтажная,АСКО-УКРЕМ,A0150070002,A0150070002,instock,1,12,"69,26","Спиральная обвязка для провода ∅6-60 мм SWB-08 белая (10 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для оперативной увязки проводов в жгут.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Внутренний диаметр ∅d, мм</td><td>6</td></tr><tr><td>Наружный диаметр ∅D, мм</td><td>8</td></tr><tr><td>Ширина обвязки W, мм</td><td>9</td></tr><tr><td>Диаметр провода, мм</td><td>6-60</td></tr><tr><td>Длина L, м</td><td>10</td></tr></tbody></table> ","Спіральна обв'язка для проводу ∅6-60 мм SWB-08 біла (10 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для оперативної ув'язки проводів в джгут.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Внутрішній діаметр ∅d, мм</td><td>6</td></tr><tr><td>Зовнішній діаметр ∅D, мм</td><td>8</td></tr><tr><td>Ширина обв'язки W, мм</td><td>9</td></tr><tr><td>Діаметр проводу, мм</td><td>6-60</td></tr><tr><td>Довжина L, м</td><td>10</td></tr></tbody></table> ",Русский ~ Спираль монтажная,Русский ~ 6-60,Русский ~ Белый
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-9-65-mm-swb-12-chernaya-10-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-spiralnaya-obvyazka-dlya-provoda-black-photo.jpg,"Спиральная обвязка для провода ∅9-65 мм SWB-12 черная (10 м), АСКО-УКРЕМ",Спираль монтажная,АСКО-УКРЕМ,A0150070013,A0150070013,instock,1,12,"140,55","Спиральная обвязка для провода ∅9-65 мм SWB-12 черная (10 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для оперативной увязки проводов в жгут.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Внутренний диаметр ∅d, мм</td><td>9</td></tr><tr><td>Наружный диаметр ∅D, мм</td><td>11</td></tr><tr><td>Ширина обвязки W, мм</td><td>15</td></tr><tr><td>Диаметр провода, мм</td><td>9-65</td></tr><tr><td>Длина L, м</td><td>10</td></tr></tbody></table> ","Спіральна обв'язка для проводу ∅9-65 мм SWB-12 чорна (10 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для оперативної ув'язки проводів в джгут.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Внутрішній діаметр ∅d, мм</td><td>9</td></tr><tr><td>Зовнішній діаметр ∅D, мм</td><td>11</td></tr><tr><td>Ширина обв'язки W, мм</td><td>15</td></tr><tr><td>Діаметр проводу, мм</td><td>9-65</td></tr><tr><td>Довжина L, м</td><td>10</td></tr></tbody></table> ",Русский ~ Спираль монтажная,Русский ~ 9-65,Русский ~ Черный
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-12-75-mm-swb-15-belaya-10-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-spiralnaya-obvyazka-dlya-provoda-photo.jpg,"Спиральная обвязка для провода ∅12-75 мм SWB-15 белая (10 м), АСКО-УКРЕМ",Спираль монтажная,АСКО-УКРЕМ,A0150070005,A0150070005,instock,1,12,"169,96","Спиральная обвязка для провода ∅12-75 мм SWB-15 белая (10 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для оперативной увязки проводов в жгут.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Внутренний диаметр ∅d, мм</td><td>12</td></tr><tr><td>Наружный диаметр ∅D, мм</td><td>14</td></tr><tr><td>Ширина обвязки W, мм</td><td>15</td></tr><tr><td>Диаметр провода, мм</td><td>12-75</td></tr><tr><td>Длина L, м</td><td>10</td></tr></tbody></table> ","Спіральна обв'язка для проводу ∅12-75 мм SWB-15 біла (10 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для оперативної ув'язки проводів в джгут.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Внутрішній діаметр ∅d, мм</td><td>12</td></tr><tr><td>Зовнішній діаметр ∅D, мм</td><td>14</td></tr><tr><td>Ширина обв'язки W, мм</td><td>15</td></tr><tr><td>Діаметр проводу, мм</td><td>12-75</td></tr><tr><td>Довжина L, м</td><td>10</td></tr></tbody></table> ",Русский ~ Спираль монтажная,Русский ~ 12-75,Русский ~ Белый
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-7-5-60-mm-swb-10-chernaya-10-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-spiralnaya-obvyazka-dlya-provoda-black-photo.jpg,"Спиральная обвязка для провода ∅7,5-60 мм SWB-10 черная (10 м), АСКО-УКРЕМ",Спираль монтажная,АСКО-УКРЕМ,A0150070012,A0150070012,instock,1,12,"96,63","Спиральная обвязка для провода ∅7,5-60 мм SWB-10 черная (10 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для оперативной увязки проводов в жгут.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Внутренний диаметр ∅d, мм</td><td>7,5</td></tr><tr><td>Наружный диаметр ∅D, мм</td><td>9</td></tr><tr><td>Ширина обвязки W, мм</td><td>14</td></tr><tr><td>Диаметр провода, мм</td><td>7,5-60</td></tr><tr><td>Длина L, м</td><td>10</td></tr></tbody></table> ","Спіральна обв'язка для проводу ∅7,5-60 мм SWB-10 чорна (10 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для оперативної ув'язки проводів в джгут.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Внутрішній діаметр ∅d, мм</td><td>7,5</td></tr><tr><td>Зовнішній діаметр ∅D, мм</td><td>9</td></tr><tr><td>Ширина обв'язки W, мм</td><td>14</td></tr><tr><td>Діаметр проводу, мм</td><td>7,5-60</td></tr><tr><td>Довжина L, м</td><td>10</td></tr></tbody></table> ",Русский ~ Спираль монтажная,Русский ~ 8-60,Русский ~ Черный
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-12-75-mm-swb-15-chernaya-10-m-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-spiralnaya-obvyazka-dlya-provoda-black-photo.jpg,"Спиральная обвязка для провода ∅12-75 мм SWB-15 черная (10 м), АСКО-УКРЕМ",Спираль монтажная,АСКО-УКРЕМ,A0150070014,A0150070014,instock,1,12,"169,96","Спиральная обвязка для провода ∅12-75 мм SWB-15 черная (10 м), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначена для оперативной увязки проводов в жгут.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Внутренний диаметр ∅d, мм</td><td>12</td></tr><tr><td>Наружный диаметр ∅D, мм</td><td>14</td></tr><tr><td>Ширина обвязки W, мм</td><td>15</td></tr><tr><td>Диаметр провода, мм</td><td>12-75</td></tr><tr><td>Длина L, м</td><td>10</td></tr></tbody></table> ","Спіральна обв'язка для проводу ∅12-75 мм SWB-15 чорна (10 м), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначена для оперативної ув'язки проводів в джгут.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Внутрішній діаметр ∅d, мм</td><td>12</td></tr><tr><td>Зовнішній діаметр ∅D, мм</td><td>14</td></tr><tr><td>Ширина обв'язки W, мм</td><td>15</td></tr><tr><td>Діаметр проводу, мм</td><td>12-75</td></tr><tr><td>Довжина L, м</td><td>10</td></tr></tbody></table> ",Русский ~ Спираль монтажная,Русский ~ 12-75,Русский ~ Черный
https://001.com.ua/spiralnaya-obvyazka-dlya-provoda-empty-15-100-mm-e-spiral-stand-19-black-10-m-chernaya-e-next,new,,,https://001.com.ua/media/photos/enext/spiral/enext-spiralnaya-obvyazka-e-spiral-stand-19-black-s2038016-photo.jpg ;; https://001.com.ua/media/photos/enext/spiral/gabaritnye-razmery-enext-spiralnaya-obvyazka-e-spiral-stand-19-black-s2038016-photo.jpg,"Спиральная обвязка для провода ∅15-100 мм e.spiral.stand.19.black (10 м) черная, E.NEXT",Спираль монтажная,E.NEXT,s2038016,s2038016,instock,1,12,"211,56","Спиральная обвязка для провода ∅15-100 мм e.spiral.stand.19.black (10 м) черная, E.NEXT","<h2>Описание товара</h2><p>Обвязка кабельная предназначена для бандажирования нескольких проводов в жгут, с целью более упорядоченного, экономичного размещения.</p><p>Упакована в рулоны по 10 м.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Диаметр обвязываемого жгута, мм</td><td>15-100</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table>","Спіральна обв'язка для проводу ∅15-100 мм e.spiral.stand.19.black (10 м) чорна, E.NEXT","<h2>Опис товару</h2><p>Обв'язка кабельна призначена для бандажування декількох проводів в джгут, з метою більш упорядкованого, економічного розміщення.</p><p>Упакована в рулони по 10 м.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Діаметр обв'язуваного джгута, мм</td><td>15-100</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table>",Русский ~ Спираль монтажная,Русский ~ 15-100,Русский ~ Черный
